numero;equipe;escola;uf;dip;dip_plantas;aerodinamica;desempenho;estabilidade;cargas;estruturas;estruturas_plantas;pel;embarcados;subtotal_rela;penalidades;total_rela;apresentacao;penalidades_apresentacao;total_apresentacao;total_rela_apresentacao;video_voo;penalidade_video;total_video;total;posicao;
1;Axé Fly;Universidade Federal da Bahia (UFBA);BA;16,09;9,35;23,26;21,24;23,41;23,08;15,24;8,33;22,27;0,00;162,26;0,00;162,26;38,63;0,00;38,63;200,88;30,00;0,00;30,00;230,88;1;
2;Urubus AeroDesign;Faculdade de Engenharia Mecânica - Universidade Estadual de Campinas (FEM - UNICAMP);SP;13,23;7,34;18,56;16,15;16,37;13,26;14,49;7,70;16,30;0,00;123,40;-1,48;121,93;32,28;0,00;32,28;154,21;30,00;0,00;30,00;184,21;12;
3;Uirá AeroDesign;Universidade Federal de Itajubá - Campus Itajubá (UNIFEI - Itajubá);MG;15,05;8,02;16,33;20,64;23,39;13,29;15,55;7,63;20,02;0,00;139,91;-1,23;138,68;31,82;-2,00;29,82;168,50;30,00;0,00;30,00;198,50;8;
4;Keep Flying;Escola Politécnica da Universidade de São Paulo (POLI - USP);SP;14,99;7,98;23,09;19,49;19,55;17,06;14,35;6,83;16,14;0,00;139,48;-0,40;139,08;36,95;0,00;36,95;176,03;30,00;0,00;30,00;206,03;5;
5;FEI Regular;Centro Universitário da FEI (FEI);SP;12,86;7,84;16,23;13,46;10,63;12,96;15,14;7,14;10,20;0,00;106,47;-3,69;102,78;32,26;0,00;32,26;135,03;30,00;0,00;30,00;165,03;17;
6;PegAzuls AeroDesign;Universidade Federal Rural do Semi-Árido - Campus Mossoró (UFERSA - Mossoró);RN;12,27;8,00;13,15;13,10;8,80;8,90;10,61;7,09;18,32;0,00;100,24;0,00;100,24;31,79;0,00;31,79;132,04;30,00;0,00;30,00;162,04;19;
7;Kukulcán AeroDesign;erior de Ingeniería Mecánica y Eléctrica Unidad Ticomán - Instituto Politécnico Nacional (ESI;MÉXICO;11,18;7,04;18,48;9,64;12,55;6,48;12,61;6,71;20,39;0,00;105,07;-0,50;104,57;33,80;0,00;33,80;138,37;28,70;0,00;28,70;167,07;16;
8;F-Carranca;Universidade Federal do Vale do São Francisco (UNIVASF);PE;15,96;8,41;17,56;19,51;22,41;16,35;16,54;8,24;20,29;0,00;145,27;-0,62;144,64;35,18;0,00;35,18;179,82;30,00;0,00;30,00;209,82;3;
9;Falcons AeroDesign;Centro Universitário FACENS (FACENS);SP;16,10;7,39;18,02;15,89;22,09;13,18;14,83;7,53;19,68;0,00;134,70;-0,47;134,23;37,52;0,00;37,52;171,75;30,00;0,00;30,00;201,75;7;
10;Harpia AeroDesign UFABC;Universidade Federal do ABC (UFABC);SP;16,49;8,41;22,65;17,51;21,94;16,38;15,99;9,37;17,17;0,00;145,92;-0,61;145,31;37,98;0,00;37,98;183,29;30,00;0,00;30,00;213,29;2;
11;Uai, sô! Fly!!! AeroDesign;Universidade Federal de Minas Gerais (UFMG);MG;15,54;8,37;20,27;19,21;19,03;18,52;13,97;7,71;18,62;0,00;141,25;-1,60;139,65;35,71;0,00;35,71;175,36;30,00;0,00;30,00;205,36;6;
12;Albatroz AeroDesign;Universidade do Estado de Santa Catarina (UDESC);SC;13,24;6,58;14,71;17,16;19,28;12,46;14,31;7,22;19,62;0,00;124,58;0,00;124,58;33,21;0,00;33,21;157,79;30,00;0,00;30,00;187,79;11;
13;Cefast AeroDesign;tro Federal de Educação Tecnológica de Minas Gerais - Unidade Belo Horizonte (CEFET/MG -;MG;13,89;6,52;16,04;15,34;16,80;6,51;15,25;5,65;12,79;0,00;108,79;0,00;108,79;30,42;-2,00;28,42;137,21;30,00;0,00;30,00;167,21;15;
14;Zeus;Universidade Estadual do Maranhão (UEMA);MA;11,04;7,21;11,49;9,91;14,72;10,78;13,03;4,90;14,01;0,00;97,09;-0,09;97,00;30,20;0,00;30,20;127,20;30,00;0,00;30,00;157,20;22;
15;Blackbird AeroDesign;Universidade Federal Fluminense - Campus Niterói (UFF - Niterói);RJ;12,34;7,11;14,26;16,80;14,24;8,51;9,14;6,46;15,98;0,00;104,83;-0,62;104,21;32,70;-2,00;30,70;134,91;30,00;0,00;30,00;164,91;18;
16;EESC-USP Alpha;Escola de Engenharia de São Carlos - Universidade de São Paulo (EESC - USP);SP;16,06;7,93;21,46;17,42;23,38;15,63;12,46;6,93;21,79;0,00;143,07;-0,46;142,61;35,11;0,00;35,11;177,72;30,00;0,00;30,00;207,72;4;
17;Taperá;Instituto Federal de Educação, Ciência e Tecnologia de São Paulo - Campus Salto (IFSP - Salto);SP;11,51;7,50;11,93;9,83;9,53;6,32;7,74;5,20;14,67;0,00;84,23;-25,54;58,69;26,70;0,00;26,70;85,39;0,00;0,00;0,00;85,39;42;
18;AeroSATC;Faculdade Sociedade de Assistência aos Trabalhadores do Carvão (FASATC);SC;7,95;2,49;10,64;12,86;7,32;7,89;8,22;2,40;11,70;0,00;71,46;-0,34;71,12;26,70;0,00;26,70;97,82;0,00;0,00;0,00;97,82;39;
19;AeroJampa;Universidade Federal da Paraíba (UFPB);PB;6,97;7,74;11,41;14,40;11,47;7,03;10,10;7,87;17,49;0,00;94,48;0,00;94,48;29,02;0,00;29,02;123,50;0,00;0,00;0,00;123,50;32;
20;Tucano;Universidade Federal de Uberlândia (UFU);MG;15,59;9,04;20,94;20,18;22,88;16,28;15,11;7,50;22,11;0,00;149,63;-21,20;128,43;36,36;0,00;36,36;164,79;30,00;0,00;30,00;194,79;9;
21;AeroFEG;"de Engenharia de Guaratinguetá - Universidade Estadual Paulista Júlio de Mesquita Filho"" (FE";SP;14,70;7,45;18,49;15,68;17,13;12,19;10,33;7,15;18,92;0,00;122,04;-4,89;117,15;34,35;0,00;34,35;151,50;30,00;0,00;30,00;181,50;13;
22;FAM AeroDesign;Instituto Federal do Espírito Santo - Campus São Mateus (IFES - São Mateus);ES;10,33;5,67;13,85;9,04;13,31;5,19;11,86;6,02;8,24;0,00;83,50;-4,99;78,51;28,89;0,00;28,89;107,40;30,00;0,00;30,00;137,40;26;
23;Abutres AeroDesign;versidade Tecnológica Federal do Paraná - Campus Cornélio Procópio (UTFPR - Cornélio Procó;PR;7,48;6,79;14,90;11,69;12,69;10,07;9,98;5,16;18,44;0,00;97,21;-2,01;95,20;27,47;0,00;27,47;122,67;27,00;0,00;27,00;149,67;23;
24;Pampa AeroDesign;Universidade Federal do Rio Grande do Sul (UFRGS);RS;6,92;4,80;10,06;11,94;10,66;6,30;10,15;5,15;14,94;0,00;80,91;0,00;80,91;18,43;0,00;18,43;99,34;26,00;0,00;26,00;125,34;30;
25;Triângulo Aéreo AeroDesign;Universidade Federal do Triângulo Mineiro (UFTM);MG;9,18;6,94;13,66;10,60;11,71;8,63;9,49;5,51;17,45;0,00;93,17;-1,84;91,33;27,36;0,00;27,36;118,68;30,00;0,00;30,00;148,68;24;
26;Acalântis;Universidade Tecnológica Federal do Paraná - Campus Curitiba (UTFPR - Curitiba);PR;15,65;8,92;17,68;15,35;17,13;11,04;15,47;7,74;21,88;0,00;130,86;0,00;130,86;33,07;0,00;33,07;163,93;30,00;0,00;30,00;193,93;10;
27;Nisus AeroDesign;Universidade Federal de Santa Catarina - Campus Joinville (UFSC - Joinville);SC;9,92;7,85;19,97;12,59;14,51;8,73;13,44;7,41;18,53;0,00;112,95;-4,60;108,35;30,66;0,00;30,66;139,01;30,00;0,00;30,00;169,01;14;
28;AeroVale;Universidade Federal dos Vales do Jequitinhonha e Mucuri (UFVJM);MG;7,88;5,34;9,43;6,83;6,94;5,15;9,24;5,47;16,02;0,00;72,29;-4,38;67,90;29,08;0,00;29,08;96,99;30,00;0,00;30,00;126,99;29;
29;ADAM AeroDesign;Universidade Estadual de Maringá (UEM);PR;7,10;4,54;11,80;7,32;7,98;6,58;5,37;3,20;12,37;0,00;66,26;0,00;66,26;20,91;0,00;20,91;87,17;30,00;0,00;30,00;117,17;36;
30;Delta do Piauí AeroDesign;Universidade Federal do Piauí (UFPI);RN;9,06;8,21;11,01;13,80;14,01;9,38;7,92;7,73;16,00;0,00;97,11;-0,74;96,37;28,63;0,00;28,63;125,00;0,00;0,00;0,00;125,00;31;
31;Skywards UFVoa;Universidade Federal de Viçosa - Campus Viçosa (UFV - Viçosa);MG;13,42;6,52;19,06;13,69;13,96;9,81;12,61;5,53;16,98;0,00;111,60;0,00;111,60;33,03;-2,00;31,03;142,64;-10,00;0,00;-10,00;132,64;28;
32;Burning Goose;Universidade Federal do Paraná (UFPR);PR;8,59;6,42;12,47;13,44;10,41;10,27;7,42;4,91;18,51;0,00;92,44;0,00;92,44;26,05;0,00;26,05;118,49;16,50;0,00;16,50;134,99;27;
33;Dragão Branco AeroDesign;Universidade Federal de São Carlos (UFSCar);SP;9,58;7,12;16,02;14,28;14,55;8,18;7,61;5,66;18,11;0,00;101,12;-1,26;99,86;29,57;0,00;29,57;129,43;30,00;0,00;30,00;159,43;20;
34;IMT Asterix;Instituto Mauá de Tecnologia (IMT - Mauá);SP;12,88;6,35;16,98;12,59;13,11;11,89;9,64;5,63;14,84;0,00;103,90;-10,05;93,85;35,04;0,00;35,04;128,89;30,00;0,00;30,00;158,89;21;
35;Zebra;"de Engenharia de Ilha Solteira - Universidade Estadual Paulista Júlio de Mesquita Filho"" (FEIS";SP;8,62;4,82;10,13;16,10;6,39;9,15;9,57;5,84;21,92;0,00;92,55;-5,08;87,47;22,85;-4,00;18,85;106,32;0,00;0,00;0,00;106,32;38;
36;Draco Volans;Faculdade de Tecnologia - Universidade de Brasília (FT - UnB);DF;11,55;4,44;18,71;13,05;13,01;6,31;8,11;4,46;21,34;0,00;100,98;-85,11;15,87;28,07;-4,00;24,07;39,94;0,00;0,00;0,00;39,94;47;
37;Avoante AeroMec AeroDesign;Universidade Federal do Ceará - Campus Fortaleza (UFC - Fortaleza);CE;10,34;6,69;15,61;13,13;10,56;8,53;5,13;3,75;17,39;0,00;91,12;-4,22;86,90;24,27;-2,00;22,27;109,17;0,00;0,00;0,00;109,17;37;
